
Date,Time,Level,Host Name,Category,Program,Messages
2026-05-12,16:32:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=248s heap=75676/46228 net=sta rssi=-65 stream=rtsp drops=6770 i2serr=0
2026-05-12,16:32:04,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=7
2026-05-12,16:31:44,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #6688 (ring buffer full)
2026-05-12,16:31:34,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=6
2026-05-12,16:31:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=188s heap=76460/47136 net=sta rssi=-64 stream=rtsp drops=6687 i2serr=0
2026-05-12,16:31:04,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=5
2026-05-12,16:30:44,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #6626 (ring buffer full)
2026-05-12,16:30:34,Info,192.168.1.53,local0,BirdMic,[SS] RTSP PLAY: client=192.168.1.43 session=662744187
2026-05-12,16:30:34,Info,192.168.1.53,local0,BirdMic,[SS] RTSP: drained 100352 stale bytes before PLAY
2026-05-12,16:30:34,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: PLAY CSeq=4
2026-05-12,16:30:34,Info,192.168.1.53,local0,BirdMic,[SS] RTSP SETUP Transport: RTP/AVP/TCP;unicast;interleaved=0-1
2026-05-12,16:30:34,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: SETUP CSeq=3
2026-05-12,16:30:34,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: DESCRIBE CSeq=2
2026-05-12,16:30:34,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: OPTIONS CSeq=1
2026-05-12,16:30:34,Info,192.168.1.53,local0,BirdMic,[SS] RTSP client connected: 192.168.1.43
2026-05-12,16:30:13,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #5628 (ring buffer full)
2026-05-12,16:30:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=128s heap=80296/52256 net=sta rssi=-64 stream=none drops=5579 i2serr=0
2026-05-12,16:29:43,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #4221 (ring buffer full)
2026-05-12,16:29:13,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #2815 (ring buffer full)
2026-05-12,16:29:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=68s heap=80288/52256 net=sta rssi=-64 stream=none drops=2767 i2serr=0
2026-05-12,16:28:43,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #1408 (ring buffer full)
